Time,id,Gender,Group,Score
T0,1,Female,Degree,18
T0,2,Female,Degree,16
T0,3,Female,Degree,24
T0,4,Male,Degree,26
T0,5,Female,Degree,21
T0,6,Male,Degree,22
T0,7,Male,Degree,27
T0,8,Male,Degree,19
T0,9,Male,Degree,29
T0,10,Male,Degree,30
T0,11,Male,Degree,27
T0,12,Male,Degree,35
T0,13,Male,Degree,24
T0,14,Female,Degree,31
T0,15,Female,Degree,21
T0,16,Female,Degree,27
T0,17,Female,Degree,21
T0,18,Female,Degree,11
T0,19,Female,Degree,27
T0,20,Male,Degree,25
T0,21,Male,Degree,19
T0,22,Female,Degree,27
T0,23,Female,Degree,17
T0,24,Male,Degree,27
T0,25,Male,Degree,22
T0,26,Female,Degree,24
T0,27,Male,Degree,33
T0,28,Female,Degree,31
T0,29,Male,Degree,26
T0,30,Male,Degree,18
T0,31,Female,Degree,26
T0,32,Male,Degree,23
T0,33,Male,Degree,21
T0,34,Male,Degree,24
T0,35,Male,Degree,27
T0,36,Male,Degree,32
T0,37,Male,Degree,36
T0,38,Male,Degree,29
T0,39,Male,Degree,22
T0,40,Female,Degree,19
T0,41,Female,Degree,26
T0,42,Female,Degree,16
T0,43,Male,Degree,24
T0,44,Male,Degree,29
T0,45,Female,Degree,31
T0,46,Male,Degree,24
T0,47,Male,Degree,29
T0,48,Female,Degree,31
T0,49,Male,Degree,25
T0,50,Male,Degree,28
T0,51,Female,Degree,28
T0,52,Female,Degree,28
T0,53,Male,Degree,30
T0,54,Male,Degree,29
T0,55,Male,Degree,18
T0,56,Male,Degree,24
T0,57,Male,Degree,32
T0,58,Male,Degree,28
T0,59,Female,Degree,27
T0,60,Male,Degree,28
T0,61,Male,Degree,28
T0,62,Female,Degree,23
T0,63,Male,Degree,32
T0,64,Male,Degree,20
T0,65,Female,Degree,28
T0,66,Female,Degree,25
T0,67,Female,Degree,24
T0,68,Female,Degree,17
T0,69,Male,Degree,20
T0,70,Female,Degree,29
T0,71,Female,Degree,20
T0,72,Male,Degree,17
T0,73,Female,Degree,25
T0,74,Female,Degree,18
T0,75,Male,Degree,22
T0,76,Female,Degree,25
T0,77,Male,Degree,12
T0,78,Male,Degree,27
T0,79,Male,Degree,24
T0,80,Female,Degree,19
T0,81,Female,Degree,21
T0,82,Male,Degree,20
T0,83,Male,Degree,18
T0,84,Female,Degree,24
T0,85,Female,Degree,24
T0,86,Male,Degree,17
T0,87,Female,Degree,24
T0,88,Female,Degree,24
T0,89,Female,Degree,25
T0,90,Female,Degree,21
T0,91,Female,Degree,20
T0,92,Female,Degree,35
T0,93,Female,Degree,29
T0,94,Male,Degree,26
T0,95,Female,Degree,25
T0,96,Male,Degree,25
T0,97,Female,Degree,25
T0,98,Female,Degree,24
T0,99,Male,Degree,21
T0,100,Female,Master Degree,29
T0,101,Female,Master Degree,21
T0,102,Female,Master Degree,25
T0,103,Female,Master Degree,26
T0,104,Female,Master Degree,28
T0,105,Male,Master Degree,19
T0,106,Female,Master Degree,26
T0,107,Female,Master Degree,35
T0,108,Female,Master Degree,32
T0,109,Male,Master Degree,30
T0,110,Female,Master Degree,25
T0,111,Female,Master Degree,23
T0,112,Female,Master Degree,26
T0,113,Male,Master Degree,33
T0,114,Male,Master Degree,28
T0,115,Male,Master Degree,23
T0,116,Female,Master Degree,28
T0,117,Male,Master Degree,25
T0,118,Male,Master Degree,30
T0,119,Male,Master Degree,30
T0,120,Female,Master Degree,31
T0,121,Female,Master Degree,25
T0,122,Male,Master Degree,19
T0,123,Female,Master Degree,27
T0,124,Female,Master Degree,26
T0,125,Male,Master Degree,21
T0,126,Male,Master Degree,28
T0,127,Female,Master Degree,26
T0,128,Male,Master Degree,23
T1,1,Female,Degree,30
T1,2,Female,Degree,28
T1,3,Female,Degree,23
T1,4,Male,Degree,26
T1,5,Female,Degree,23
T1,6,Male,Degree,31
T1,7,Male,Degree,29
T1,8,Male,Degree,21
T1,9,Male,Degree,29
T1,10,Male,Degree,36
T1,11,Male,Degree,30
T1,12,Male,Degree,22
T1,13,Male,Degree,23
T1,14,Female,Degree,28
T1,15,Female,Degree,16
T1,16,Female,Degree,26
T1,17,Female,Degree,22
T1,18,Female,Degree,21
T1,19,Female,Degree,31
T1,20,Male,Degree,20
T1,21,Male,Degree,15
T1,22,Female,Degree,19
T1,23,Female,Degree,28
T1,24,Male,Degree,27
T1,25,Male,Degree,21
T1,26,Female,Degree,20
T1,27,Male,Degree,24
T1,28,Female,Degree,23
T1,29,Male,Degree,19
T1,30,Male,Degree,18
T1,31,Female,Degree,25
T1,32,Male,Degree,21
T1,33,Male,Degree,11
T1,34,Male,Degree,16
T1,35,Male,Degree,26
T1,36,Male,Degree,30
T1,37,Male,Degree,27
T1,38,Male,Degree,36
T1,39,Male,Degree,33
T1,40,Female,Degree,29
T1,41,Female,Degree,26
T1,42,Female,Degree,24
T1,43,Male,Degree,26
T1,44,Male,Degree,27
T1,45,Female,Degree,30
T1,46,Male,Degree,28
T1,47,Male,Degree,27
T1,48,Female,Degree,30
T1,49,Male,Degree,31
T1,50,Male,Degree,28
T1,51,Female,Degree,34
T1,52,Female,Degree,34
T1,53,Male,Degree,32
T1,54,Male,Degree,36
T1,55,Male,Degree,29
T1,56,Male,Degree,28
T1,57,Male,Degree,31
T1,58,Male,Degree,28
T1,59,Female,Degree,33
T1,60,Male,Degree,30
T1,61,Male,Degree,33
T1,62,Female,Degree,26
T1,63,Male,Degree,31
T1,64,Male,Degree,30
T1,65,Female,Degree,35
T1,66,Female,Degree,30
T1,67,Female,Degree,25
T1,68,Female,Degree,26
T1,69,Male,Degree,29
T1,70,Female,Degree,29
T1,71,Female,Degree,24
T1,72,Male,Degree,28
T1,73,Female,Degree,31
T1,74,Female,Degree,21
T1,75,Male,Degree,33
T1,76,Female,Degree,25
T1,77,Male,Degree,29
T1,78,Male,Degree,31
T1,79,Male,Degree,25
T1,80,Female,Degree,30
T1,81,Female,Degree,26
T1,82,Male,Degree,25
T1,83,Male,Degree,28
T1,84,Female,Degree,22
T1,85,Female,Degree,24
T1,86,Male,Degree,28
T1,87,Female,Degree,22
T1,88,Female,Degree,18
T1,89,Female,Degree,24
T1,90,Female,Degree,29
T1,91,Female,Degree,25
T1,92,Female,Degree,27
T1,93,Female,Degree,32
T1,94,Male,Degree,24
T1,95,Female,Degree,27
T1,96,Male,Degree,28
T1,97,Female,Degree,27
T1,98,Female,Degree,28
T1,99,Male,Degree,28
T1,100,Female,Master Degree,35
T1,101,Female,Master Degree,29
T1,102,Female,Master Degree,30
T1,103,Female,Master Degree,31
T1,104,Female,Master Degree,38
T1,105,Male,Master Degree,29
T1,106,Female,Master Degree,31
T1,107,Female,Master Degree,35
T1,108,Female,Master Degree,34
T1,109,Male,Master Degree,34
T1,110,Female,Master Degree,34
T1,111,Female,Master Degree,34
T1,112,Female,Master Degree,25
T1,113,Male,Master Degree,27
T1,114,Male,Master Degree,28
T1,115,Male,Master Degree,32
T1,116,Female,Master Degree,34
T1,117,Male,Master Degree,29
T1,118,Male,Master Degree,31
T1,119,Male,Master Degree,25
T1,120,Female,Master Degree,35
T1,121,Female,Master Degree,26
T1,122,Male,Master Degree,29
T1,123,Female,Master Degree,32
T1,124,Female,Master Degree,31
T1,125,Male,Master Degree,28
T1,126,Male,Master Degree,33
T1,127,Female,Master Degree,31
T1,128,Male,Master Degree,30
